iter	Passed	Remaining
0	148	148838
1	150	75006
2	151	50324
3	152	37954
4	153	30524
5	154	25559
6	155	22008
7	156	19350
8	157	17291
9	157	15628
10	158	14272
11	159	13147
12	160	12180
13	161	11357
14	162	10638
15	162	10012
16	163	9458
17	164	8964
18	165	8523
19	165	8124
20	166	7768
21	167	7442
22	168	7145
23	168	6870
24	169	6617
25	170	6393
26	171	6178
27	172	5978
28	172	5791
29	173	5619
30	174	5459
31	175	5305
32	176	5162
33	176	5028
34	177	4899
35	178	4780
36	179	4665
37	180	4560
38	180	4459
39	181	4361
40	182	4268
41	183	4179
42	184	4096
43	184	4016
44	185	3939
45	186	3866
46	187	3796
47	187	3727
48	188	3665
49	189	3603
50	190	3542
51	191	3484
52	191	3429
53	192	3376
54	193	3323
55	194	3273
56	194	3225
57	195	3178
58	196	3133
59	197	3090
60	197	3047
61	198	3005
62	199	2966
63	200	2928
64	200	2890
65	201	2854
66	202	2819
67	203	2785
68	203	2752
69	204	2719
70	205	2687
71	206	2657
72	206	2627
73	207	2598
74	208	2570
75	209	2542
76	209	2515
77	210	2489
78	211	2466
79	212	2441
80	213	2417
81	213	2393
82	214	2366
83	214	2344
84	215	2321
85	216	2300
86	217	2279
87	218	2263
88	219	2243
89	220	2225
90	220	2207
91	221	2188
92	222	2170
93	223	2152
94	224	2134
95	224	2117
96	225	2100
97	226	2083
98	227	2067
99	227	2050
100	228	2034
101	229	2018
102	229	2002
103	230	1987
104	231	1972
105	232	1958
106	233	1945
107	234	1933
108	234	1920
109	235	1908
110	236	1896
111	238	1887
112	238	1875
113	239	1864
114	240	1852
115	241	1840
116	242	1826
117	242	1815
118	243	1803
119	244	1791
120	245	1780
121	245	1768
122	246	1757
123	247	1746
124	248	1736
125	248	1726
126	249	1716
127	250	1706
128	251	1697
129	252	1688
130	253	1680
131	254	1671
132	254	1661
133	255	1652
134	256	1643
135	257	1634
136	257	1625
137	258	1615
138	259	1607
139	260	1598
140	260	1589
141	261	1579
142	262	1572
143	263	1564
144	263	1556
145	264	1548
146	265	1540
147	266	1533
148	267	1526
149	268	1519
150	268	1511
151	269	1503
152	270	1496
153	271	1488
154	271	1481
155	272	1474
156	273	1467
157	274	1460
158	274	1453
159	275	1446
160	276	1438
161	276	1432
162	277	1425
163	278	1419
164	279	1413
165	280	1407
166	281	1401
167	281	1395
168	282	1389
169	283	1383
170	284	1377
171	284	1371
172	285	1365
173	286	1359
174	287	1353
175	287	1347
176	288	1341
177	289	1335
178	290	1330
179	290	1324
180	291	1319
181	292	1314
182	293	1309
183	294	1304
184	295	1300
185	295	1295
186	296	1289
187	297	1284
188	298	1279
189	298	1274
190	299	1269
191	300	1264
192	301	1259
193	301	1254
194	302	1249
195	303	1244
196	304	1240
197	304	1235
198	305	1230
199	306	1226
200	307	1222
201	308	1218
202	309	1213
203	309	1209
204	310	1205
205	311	1200
206	312	1196
207	313	1192
208	313	1188
209	314	1183
210	315	1179
211	316	1175
212	317	1171
213	317	1167
214	318	1163
215	319	1158
216	320	1154
217	320	1150
218	321	1146
219	322	1142
220	323	1139
221	324	1135
222	325	1132
223	325	1128
224	326	1124
225	327	1120
226	328	1117
227	328	1113
228	329	1109
229	330	1106
230	331	1102
231	331	1098
232	332	1094
233	333	1091
234	334	1087
235	334	1084
236	335	1081
237	336	1077
238	337	1073
239	338	1070
240	338	1067
241	339	1064
242	340	1060
243	341	1058
244	342	1054
245	343	1051
246	343	1048
247	344	1044
248	345	1041
249	346	1038
250	346	1034
251	347	1031
252	348	1028
253	348	1024
254	349	1021
255	350	1018
256	351	1015
257	352	1013
258	353	1010
259	353	1007
260	354	1004
261	355	1001
262	356	998
263	357	995
264	357	992
265	358	989
266	359	986
267	360	983
268	360	980
269	361	977
270	362	974
271	363	971
272	363	968
273	364	966
274	365	963
275	366	961
276	367	959
277	368	956
278	369	953
279	370	951
280	370	948
281	371	946
282	372	943
283	373	940
284	373	937
285	374	935
286	375	932
287	376	929
288	376	927
289	377	924
290	378	922
291	379	919
292	380	917
293	381	915
294	382	913
295	383	911
296	384	909
297	385	907
298	386	905
299	387	903
300	387	900
301	388	898
302	389	895
303	390	893
304	390	890
305	391	888
306	392	885
307	393	883
308	393	880
309	394	878
310	395	876
311	396	874
312	397	872
313	398	870
314	399	868
315	400	865
316	400	863
317	401	861
318	402	858
319	403	856
320	403	853
321	404	851
322	405	849
323	406	847
324	406	845
325	407	842
326	408	840
327	409	838
328	409	836
329	410	834
330	411	832
331	412	830
332	413	828
333	414	826
334	415	824
335	416	822
336	416	820
337	417	817
338	418	815
339	419	813
340	419	811
341	420	809
342	421	807
343	422	804
344	422	802
345	423	800
346	424	798
347	425	796
348	425	794
349	426	792
350	427	790
351	428	789
352	429	787
353	430	785
354	431	783
355	431	781
356	432	779
357	433	777
358	434	775
359	434	773
360	435	771
361	436	769
362	437	767
363	437	765
364	438	763
365	439	761
366	440	759
367	441	757
368	441	755
369	442	753
370	443	752
371	444	750
372	445	748
373	446	747
374	447	745
